time (milliseconds since 1970-01-01),electron_flux_e1 (e/(cm^2 s sr))
1.4482845E12,4433.93017578125
1.4482848E12,4453.5498046875
1.4482851E12,4470.18994140625
1.4482854E12,4497.56005859375
1.4482857E12,4463.740234375
1.448286E12,4663.35986328125
1.4482863E12,4676.2001953125
1.4482866E12,4587.9501953125
1.4482869E12,4683.330078125
1.4482872E12,4676.18017578125
1.4482875E12,4686.41015625
1.4482878E12,4658.85009765625
1.4482881E12,4690.41015625
1.4482884E12,4703.2998046875
1.4482887E12,4693.330078125
1.448289E12,4703.35009765625
1.4482893E12,4620.5400390625
1.4482896E12,4625.97021484375
1.4482899E12,4505.41015625
1.4482902E12,4545.3701171875
1.4482905E12,4606.9501953125
1.4482908E12,4527.259765625
1.4482911E12,4683.10009765625
1.4482914E12,4703.25
1.4482917E12,4551.5498046875
1.448292E12,4503.97021484375
1.4482923E12,4644.27978515625
1.4482926E12,4513.169921875
1.4482929E12,4404.2099609375
1.4482932E12,4287.43994140625
1.4482935E12,4329.27001953125
1.4482938E12,4286.97998046875
1.4482941E12,4172.7900390625
1.4482944E12,4150.72021484375
1.4482947E12,4224.91015625
1.448295E12,4230.89990234375
1.4482953E12,4142.35009765625
1.4482956E12,4179.9501953125
1.4482959E12,4327.240234375
1.4482962E12,4344.97021484375
1.4482965E12,-99999.0
1.4482968E12,-99999.0
1.4482971E12,-99999.0
1.4482974E12,-99999.0
1.4482977E12,-99999.0
1.448298E12,-99999.0
1.4482983E12,-99999.0
1.4482986E12,-99999.0
1.4482989E12,-99999.0
1.4482992E12,-99999.0
1.4482995E12,-99999.0
1.4482998E12,-99999.0
1.4483001E12,-99999.0
1.4483004E12,-99999.0
1.4483007E12,-99999.0
1.448301E12,4129.5
1.4483013E12,4083.510009765625
1.4483016E12,4081.10009765625
1.4483019E12,4070.0400390625
1.4483022E12,4074.320068359375
1.4483025E12,4069.860107421875
1.4483028E12,4071.760009765625
1.4483031E12,4067.669921875
1.4483034E12,4067.77001953125
1.4483037E12,3997.050048828125
1.448304E12,3996.8701171875
1.4483043E12,4033.719970703125
1.4483046E12,4011.830078125
1.4483049E12,3942.550048828125
1.4483052E12,3900.179931640625
1.4483055E12,3853.080078125
1.4483058E12,3790.469970703125
1.4483061E12,3773.179931640625
1.4483064E12,3754.800048828125
1.4483067E12,3750.5
1.448307E12,3727.800048828125
1.4483073E12,3687.10009765625
1.4483076E12,3635.570068359375
1.4483079E12,3601.909912109375
1.4483082E12,3590.800048828125
1.4483085E12,3579.409912109375
1.4483088E12,3577.1298828125
1.4483091E12,3579.3798828125
1.4483094E12,3523.570068359375
1.4483097E12,3487.449951171875
1.44831E12,3493.1298828125
1.4483103E12,3508.080078125
1.4483106E12,3455.860107421875
1.4483109E12,3431.60009765625
1.4483112E12,3424.1298828125
1.4483115E12,3412.909912109375
1.4483118E12,3403.860107421875
1.4483121E12,3389.75
1.4483124E12,3373.860107421875
1.4483127E12,3321.60009765625
1.448313E12,3261.93994140625
1.4483133E12,3241.93994140625
1.4483136E12,3246.3798828125
1.4483139E12,3220.830078125
1.4483142E12,3195.9599609375
1.4483145E12,3161.280029296875
1.4483148E12,3108.919921875
1.4483151E12,3080.070068359375
1.4483154E12,3135.199951171875
